측정일자,도로변구분,측정소명,미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20220415,일반도로,종로,40,0.052,0.026,0.5,0.003
20220416,일반도로,종로,31,0.04,0.021,0.4,0.003
20220417,일반도로,종로,24,0.036,0.023,0.4,0.003
20220418,일반도로,종로,29,0.032,0.023,0.4,0.003
20220419,일반도로,종로,28,0.033,0.015,0.4,0.003
20220420,일반도로,종로,30,0.053,0.014,0.4,0.003
20220421,일반도로,종로,38,0.042,0.026,0.5,0.004
20220422,일반도로,종로,25,0.04,0.017,0.4,0.003
20220423,일반도로,종로,27,0.034,0.016,0.4,0.003
20220424,일반도로,종로,26,0.032,0.023,0.4,0.003
20220425,일반도로,종로,35,0.038,0.021,0.4,0.003
20220426,일반도로,종로,69,0.051,0.027,0.6,0.004
20220427,일반도로,종로,38,0.046,0.014,0.4,0.003
20220428,일반도로,종로,38,0.032,0.02,0.4,0.003
20220429,일반도로,종로,35,0.043,0.024,0.5,0.004
20220430,일반도로,종로,46,0.054,0.023,0.5,0.004
20220501,일반도로,종로,62,0.059,0.028,0.6,0.004
20220502,일반도로,종로,56,0.055,0.028,0.6,0.003
20220503,일반도로,종로,34,0.043,0.02,0.4,0.003
20220504,일반도로,종로,24,0.042,0.009,0.3,0.003
20220505,일반도로,종로,33,0.037,0.012,0.4,0.003
20220506,일반도로,종로,29,0.034,0.018,0.4,0.003
20220507,일반도로,종로,31,0.038,0.021,0.5,0.003
20220508,일반도로,종로,30,0.044,0.021,0.4,0.003
20220509,일반도로,종로,30,0.028,0.03,0.5,0.003
20220510,일반도로,종로,19,0.032,0.021,0.4,0.003
20220511,일반도로,종로,20,0.034,0.017,0.4,0.002
20220512,일반도로,종로,27,0.035,0.011,0.4,0.003
20220513,일반도로,종로,37,0.027,0.022,0.5,0.003
20220514,일반도로,종로,32,0.043,0.021,0.5,0.003
20220515,일반도로,종로,40,0.039,0.031,0.6,0.003
20220516,일반도로,종로,37,0.037,0.023,0.5,0.003
20220517,일반도로,종로,44,0.035,0.019,0.5,0.003
20220518,일반도로,종로,41,0.04,0.014,0.4,0.003
20220519,일반도로,종로,18,0.035,0.016,0.4,0.003
20220520,일반도로,종로,14,0.03,0.018,0.4,0.002
20220521,일반도로,종로,70,0.029,0.027,0.5,0.003
20220522,일반도로,종로,138,0.036,0.016,0.4,0.003
20220523,일반도로,종로,45,0.035,0.019,0.5,0.003
20220524,일반도로,종로,47,0.029,0.028,0.7,0.003
20220525,일반도로,종로,53,0.052,0.018,0.5,0.003
20220526,일반도로,종로,52,0.035,0.027,0.6,0.003
20220527,일반도로,종로,54,0.047,0.024,0.5,0.003
20220528,일반도로,종로,53,0.044,0.031,0.6,0.004
20220529,일반도로,종로,73,0.053,0.033,0.6,0.004
20220530,일반도로,종로,67,0.044,0.033,0.6,0.004
20220531,일반도로,종로,61,0.045,0.032,0.5,0.004
20220601,일반도로,종로,54,0.043,0.022,0.5,0.004
20220602,일반도로,종로,34,0.036,0.019,0.4,0.003
20220603,일반도로,종로,22,0.035,0.017,0.4,0.003
20220604,일반도로,종로,15,0.029,0.019,0.4,0.003
20220605,일반도로,종로,21,0.021,0.024,0.4,0.003
20220606,일반도로,종로,30,0.023,0.018,0.4,0.003
20220607,일반도로,종로,38,0.024,0.027,0.5,0.004
20220608,일반도로,종로,43,0.043,0.018,0.5,0.004
20220609,일반도로,종로,54,0.037,0.031,0.6,0.004
20220610,일반도로,종로,45,0.028,0.033,0.5,0.004
20220611,일반도로,종로,35,0.035,0.018,0.4,0.003
20220612,일반도로,종로,52,0.041,0.021,0.4,0.003
20220613,일반도로,종로,44,0.038,0.033,0.5,0.004
20220614,일반도로,종로,59,0.036,0.03,0.6,0.004
20220615,일반도로,종로,45,0.033,0.024,0.6,0.004
20220616,일반도로,종로,31,0.03,0.024,0.5,0.004
20220617,일반도로,종로,18,0.028,0.019,0.4,0.003
20220618,일반도로,종로,23,0.029,0.016,0.4,0.003
20220619,일반도로,종로,36,0.014,0.035,0.6,0.003
20220620,일반도로,종로,36,0.025,0.03,0.5,0.003
20220621,일반도로,종로,32,0.028,0.024,0.5,0.003
20220622,일반도로,종로,31,0.033,0.015,0.4,0.003
20220623,일반도로,종로,12,0.03,0.018,0.4,0.003
20220624,일반도로,종로,79,0.013,0.044,0.8,0.004
20220625,일반도로,종로,50,0.021,0.035,0.6,0.004
20220626,일반도로,종로,38,0.021,0.029,0.5,0.003
20220627,일반도로,종로,38,0.03,0.024,0.6,0.003
20220628,일반도로,종로,30,0.027,0.023,0.5,0.003
20220629,일반도로,종로,22,0.028,0.017,0.4,0.003
20220630,일반도로,종로,7,0.024,0.02,0.4,0.003
20220701,일반도로,종로,15,0.028,0.021,0.4,0.003
20220702,일반도로,종로,53,0.023,0.025,0.6,0.003
20220703,일반도로,종로,70,0.021,0.035,0.7,0.003
20220704,일반도로,종로,47,0.018,0.031,0.8,0.003
20220705,일반도로,종로,19,0.02,0.027,0.6,0.003
20220706,일반도로,종로,14,0.023,0.017,0.4,0.003
20220707,일반도로,종로,69,0.027,0.033,0.6,0.003
20220708,일반도로,종로,75,0.025,0.046,0.8,0.004
20220709,일반도로,종로,71,0.02,0.043,0.7,0.004
20220710,일반도로,종로,67,0.026,0.03,0.6,0.003
20220711,일반도로,종로,54,0.017,0.041,0.6,0.004
20220712,일반도로,종로,42,0.012,0.036,0.6,0.004
20220713,일반도로,종로,43,0.033,0.012,0.4,0.003
20220714,일반도로,종로,93,0.035,0.011,0.4,0.003
20220715,일반도로,종로,79,0.027,0.042,0.7,0.004
20220716,일반도로,종로,50,0.026,0.029,0.6,0.003
20220717,일반도로,종로,31,0.024,0.027,0.5,0.003
20220718,일반도로,종로,39,0.029,0.022,0.5,0.003
20220719,일반도로,종로,48,0.018,0.04,0.7,0.004
20220720,일반도로,종로,48,0.03,0.022,0.5,0.003
20220721,일반도로,종로,69,0.043,0.023,0.6,0.004
20220722,일반도로,종로,73,0.018,0.045,0.8,0.004
20220723,일반도로,종로,32,0.028,0.021,0.5,0.003
20220724,일반도로,종로,28,0.031,0.013,0.4,0.003
20220725,일반도로,종로,32,0.031,0.013,0.4,0.003
20220726,일반도로,종로,34,0.022,0.026,0.5,0.003
20220727,일반도로,종로,33,0.034,0.009,0.4,0.003
20220728,일반도로,종로,44,0.024,0.023,0.5,0.004
20220729,일반도로,종로,48,0.006,0.045,0.7,0.004
20220730,일반도로,종로,34,0.025,0.016,0.5,0.003
20220731,일반도로,종로,31,0.031,0.011,0.4,0.003
20220801,일반도로,종로,39,0.031,0.014,0.5,0.003
20220802,일반도로,종로,43,0.017,0.036,0.7,0.003
20220803,일반도로,종로,58,0.019,0.036,0.7,0.003
20220804,일반도로,종로,93,0.021,0.037,0.8,0.003
20220805,일반도로,종로,83,0.017,0.051,1,0.004
20220806,일반도로,종로,46,0.017,0.038,0.8,0.004
20220807,일반도로,종로,41,0.01,0.045,0.8,0.003
20220808,일반도로,종로,33,0.017,0.035,0.6,0.003
20220809,일반도로,종로,33,0.017,0.031,0.6,0.003
20220810,일반도로,종로,25,0.026,0.018,0.5,0.003
20220811,일반도로,종로,31,0.031,0.01,0.4,0.003
20220812,일반도로,종로,24,0.031,0.015,0.4,0.003
20220813,일반도로,종로,25,0.027,0.019,0.5,0.003
20220814,일반도로,종로,34,0.031,0.013,0.5,0.003
20220815,일반도로,종로,44,0.033,0.013,0.6,0.003
20220816,일반도로,종로,34,0.021,0.025,0.6,0.003
20220817,일반도로,종로,36,0.023,0.02,0.6,0.004
20220818,일반도로,종로,32,0.027,0.014,0.5,0.004
20220819,일반도로,종로,39,0.027,0.017,0.5,0.003
20220820,일반도로,종로,63,0.021,0.028,0.7,0.004
20220821,일반도로,종로,63,0.02,0.028,0.8,0.004
20220822,일반도로,종로,31,0.012,0.036,0.6,0.003
20220823,일반도로,종로,29,0.012,0.041,0.7,0.004
20220824,일반도로,종로,63,0.014,0.04,0.8,0.004
20220825,일반도로,종로,56,0.004,0.054,1,0.004
20220826,일반도로,종로,41,0.005,0.046,0.8,0.003
20220827,일반도로,종로,45,0.014,0.033,0.7,0.003
20220828,일반도로,종로,48,0.01,0.039,0.8,0.003
20220829,일반도로,종로,44,0.019,0.02,0.5,0.003
20220830,일반도로,종로,28,0.019,0.022,0.5,0.003
20220831,일반도로,종로,48,0.019,0.022,0.6,0.003
20220901,일반도로,종로,51,0.002,0.051,0.9,0.004
20220902,일반도로,종로,37,0.012,0.028,0.6,0.004
20220903,일반도로,종로,36,0.024,0.012,0.4,0.003
20220904,일반도로,종로,32,0.02,0.016,0.5,0.003
20220905,일반도로,종로,33,0.022,0.013,0.5,0.003
20220906,일반도로,종로,91,0.008,0.048,1.1,0.003
20220907,일반도로,종로,123,0.017,0.029,0.9,0.003
20220908,일반도로,종로,58,0.004,0.053,1,0.004
20220909,일반도로,종로,63,0.008,0.045,0.9,0.004
20220910,일반도로,종로,53,0.011,0.035,0.7,0.004
20220911,일반도로,종로,54,0.005,0.041,0.8,0.004
20220912,일반도로,종로,39,0.016,0.023,0.6,0.003
20220913,일반도로,종로,29,0.007,0.038,0.6,0.003
20220914,일반도로,종로,38,0.015,0.03,0.6,0.003
